"NDB_No","Nutrient","Nutr_Val","Units"
"01004",Protein,21.4,g
"01005",Protein,23.24,g
"01006",Protein,20.75,g
"01007",Protein,19.8,g
"01009",Protein,22.87,g
"01011",Protein,23.76,g
"01012",Protein,11.12,g
"01017",Protein,6.15,g
"01018",Protein,24.99,g
"01019",Protein,14.21,g
"01020",Protein,25.6,g
"01022",Protein,24.94,g
"01023",Protein,29.81,g
"01024",Protein,20.05,g
"01025",Protein,24.48,g
"01026",Protein,22.17,g
"01028",Protein,24.26,g
"01030",Protein,23.41,g
"01033",Protein,35.75,g
"01034",Protein,23.78,g
"01035",Protein,25.58,g
"01036",Protein,11.26,g
"01038",Protein,31.8,g
"01040",Protein,26.96,g
"01043",Protein,22.13,g
"01044",Protein,24.73,g
"01054",Protein,3.2,g
"01055",Protein,2.94,g
"01057",Protein,4.55,g
"01089",Protein,3.1,g
"01095",Protein,7.91,g
"01107",Protein,1.03,g
"01115",Protein,12.93,g
"01116",Protein,3.47,g
"01117",Protein,5.25,g
"01118",Protein,5.73,g
"01124",Protein,10.9,g
"01125",Protein,15.86,g
"01128",Protein,13.61,g
"01129",Protein,12.58,g
"01130",Protein,10.57,g
"01131",Protein,12.51,g
"01132",Protein,9.99,g
"01138",Protein,12.81,g
"01139",Protein,13.87,g
"01140",Protein,13.05,g
"01144",Protein,55.5,g
"01156",Protein,30.52,g
"01157",Protein,21.58,g
"01159",Protein,18.52,g
"01178",Protein,7.0,g
"01179",Protein,3.5,g
"01180",Protein,3.1,g
"01185",Protein,40.0,g
"01200",Protein,3.0,g
"01223",Protein,45.71,g
"01225",Protein,6.84,g
"01230",Protein,3.21,g
"01236",Protein,4.1,g
"01237",Protein,4.1,g
"01238",Protein,4.29,g
"01239",Protein,3.7,g
"01240",Protein,5.21,g
"01243",Protein,4.41,g
"01244",Protein,4.41,g
"01251",Protein,23.54,g
"01256",Protein,10.19,g
"01263",Protein,3.36,g
"01270",Protein,24.25,g
"01287",Protein,9.95,g
"01289",Protein,3.79,g
"01290",Protein,3.39,g
"01293",Protein,9.0,g
"01300",Protein,5.62,g
"01301",Protein,3.0,g
"01302",Protein,1.54,g
"01305",Protein,3.43,g
"01306",Protein,5.33,g
"04001",Protein,0.0,g
"04002",Protein,0.0,g
"04013",Protein,0.2,g
"04015",Protein,0.69,g
"04016",Protein,3.1,g
"04017",Protein,1.09,g
"04018",Protein,0.65,g
"04020",Protein,0.58,g
"04021",Protein,0.39,g
"04022",Protein,0.5,g
"04025",Protein,0.96,g
"04027",Protein,0.3,g
"04038",Protein,0.0,g
"04042",Protein,0.0,g
"04044",Protein,0.0,g
"04047",Protein,0.0,g
"04053",Protein,0.0,g
"04058",Protein,0.0,g
"04114",Protein,0.41,g
"04120",Protein,0.77,g
"04135",Protein,0.0,g
"04367",Protein,0.2,g
"04502",Protein,0.0,g
"04506",Protein,0.0,g
"04511",Protein,0.0,g
"04513",Protein,0.0,g
"04518",Protein,0.0,g
"04520",Protein,0.0,g
"04528",Protein,0.0,g
"04529",Protein,0.0,g
"04539",Protein,1.37,g
"04542",Protein,0.0,g
"04554",Protein,0.0,g
"04574",Protein,0.0,g
"04575",Protein,0.0,g
"04582",Protein,0.0,g
"04601",Protein,3.3,g
"04602",Protein,3.3,g
"04609",Protein,0.0,g
"04610",Protein,0.16,g
"04611",Protein,0.22,g
"04612",Protein,0.12,g
"04615",Protein,0.0,g
"04631",Protein,0.1,g
"04633",Protein,0.0,g
"04635",Protein,0.55,g
"04636",Protein,0.97,g
"04639",Protein,1.32,g
"04641",Protein,0.37,g
"04652",Protein,0.0,g
"04659",Protein,0.0,g
"04666",Protein,0.0,g
"04679",Protein,0.26,g
"04686",Protein,0.98,g
"04703",Protein,0.87,g
"04704",Protein,0.92,g
"04705",Protein,1.47,g
"04706",Protein,1.07,g
"04708",Protein,0.37,g
"04709",Protein,0.65,g
"05009",Protein,27.3,g
"05013",Protein,28.93,g
"05028",Protein,24.46,g
"05060",Protein,29.8,g
"05064",Protein,31.02,g
"05103",Protein,23.79,g
"05140",Protein,18.99,g
"05142",Protein,23.48,g
"05147",Protein,25.16,g
"05166",Protein,28.55,g
"05168",Protein,29.06,g
"05220",Protein,30.13,g
"05277",Protein,21.77,g
"05284",Protein,23.68,g
"05306",Protein,27.37,g
"05324",Protein,14.85,g
"05327",Protein,14.73,g
"05642",Protein,26.15,g
"06008",Protein,1.14,g
"06015",Protein,5.06,g
"06018",Protein,3.09,g
"06022",Protein,5.11,g
"06024",Protein,1.97,g
"06027",Protein,3.02,g
"06039",Protein,2.13,g
"06050",Protein,4.62,g
"06067",Protein,1.14,g
"06070",Protein,3.97,g
"06112",Protein,5.93,g
"06116",Protein,3.75,g
"06119",Protein,0.71,g
"06125",Protein,2.6,g
"06150",Protein,0.82,g
"06164",Protein,1.52,g
"06165",Protein,3.77,g
"06166",Protein,3.84,g
"06167",Protein,3.99,g
"06169",Protein,1.29,g
"06175",Protein,3.31,g
"06176",Protein,1.35,g
"06179",Protein,5.06,g
"06194",Protein,0.64,g
"06208",Protein,1.16,g
"06618",Protein,2.02,g
"06749",Protein,3.18,g
"06931",Protein,1.39,g
"06961",Protein,0.9,g
"06962",Protein,0.7,g
"06963",Protein,2.0,g
"06971",Protein,0.0,g
"06972",Protein,2.5,g
"06980",Protein,5.1,g
"07010",Protein,15.3,g
"07013",Protein,13.72,g
"07019",Protein,24.1,g
"07057",Protein,19.25,g
"07072",Protein,21.07,g
"07081",Protein,14.81,g
"07089",Protein,19.12,g
"07919",Protein,15.42,g
"07956",Protein,18.21,g
"07974",Protein,13.33,g
"08001",Protein,13.14,g
"08002",Protein,10.0,g
"08003",Protein,5.1,g
"08005",Protein,8.9,g
"08010",Protein,4.39,g
"08011",Protein,4.45,g
"08012",Protein,7.1,g
"08013",Protein,12.09,g
"08014",Protein,4.6,g
"08015",Protein,4.8,g
"08017",Protein,5.2,g
"08018",Protein,6.37,g
"08019",Protein,6.4,g
"08020",Protein,7.5,g
"08023",Protein,9.2,g
"08025",Protein,6.69,g
"08028",Protein,10.2,g
"08029",Protein,9.9,g
"08030",Protein,5.3,g
"08031",Protein,9.2,g
"08032",Protein,4.3,g
"08034",Protein,4.62,g
"08035",Protein,5.3,g
"08037",Protein,13.67,g
"08038",Protein,11.22,g
"08039",Protein,9.4,g
"08045",Protein,8.85,g
"08046",Protein,6.01,g
"08047",Protein,6.41,g
"08048",Protein,7.69,g
"08049",Protein,9.98,g
"08050",Protein,7.67,g
"08054",Protein,10.55,g
"08057",Protein,6.3,g
"08058",Protein,8.5,g
"08059",Protein,4.51,g
"08060",Protein,7.72,g
"08061",Protein,7.6,g
"08064",Protein,6.4,g
"08065",Protein,6.75,g
"08066",Protein,7.01,g
"08067",Protein,17.79,g
"08068",Protein,4.8,g
"08069",Protein,3.96,g
"08071",Protein,5.7,g
"08073",Protein,5.5,g
"08074",Protein,10.71,g
"08078",Protein,4.9,g
"08081",Protein,8.5,g
"08082",Protein,9.8,g
"08083",Protein,3.32,g
"08084",Protein,29.1,g
"08085",Protein,26.55,g
"08087",Protein,8.3,g
"08089",Protein,8.3,g
"08090",Protein,7.65,g
"08101",Protein,0.9,g
"08104",Protein,11.6,g
"08106",Protein,10.6,g
"08121",Protein,2.54,g
"08123",Protein,2.37,g
"08138",Protein,6.94,g
"08146",Protein,16.26,g
"08147",Protein,11.37,g
"08148",Protein,11.8,g
"08159",Protein,6.72,g
"08189",Protein,8.7,g
"08191",Protein,7.8,g
"08192",Protein,6.5,g
"08194",Protein,6.8,g
"08200",Protein,12.64,g
"08202",Protein,9.89,g
"08204",Protein,3.34,g
"08206",Protein,3.41,g
"08211",Protein,3.92,g
"08214",Protein,11.38,g
"08216",Protein,12.38,g
"08218",Protein,9.66,g
"08220",Protein,8.42,g
"08239",Protein,8.8,g
"08243",Protein,7.7,g
"08244",Protein,6.59,g
"08245",Protein,8.5,g
"08259",Protein,6.59,g
"08261",Protein,8.19,g
"08262",Protein,6.69,g
"08263",Protein,8.3,g
"08267",Protein,9.0,g
"08268",Protein,5.5,g
"08270",Protein,5.4,g
"08271",Protein,5.6,g
"08272",Protein,5.45,g
"08273",Protein,5.5,g
"08274",Protein,6.19,g
"08277",Protein,7.9,g
"08284",Protein,9.0,g
"08286",Protein,8.6,g
"08288",Protein,4.3,g
"08290",Protein,14.44,g
"08305",Protein,6.6,g
"08309",Protein,6.8,g
"08318",Protein,7.5,g
"08346",Protein,3.64,g
"08349",Protein,4.69,g
"08376",Protein,4.59,g
"08380",Protein,6.59,g
"08383",Protein,6.3,g
"08386",Protein,16.7,g
"08387",Protein,11.39,g
"08388",Protein,13.0,g
"08390",Protein,9.4,g
"08393",Protein,24.89,g
"08409",Protein,4.25,g
"08435",Protein,15.98,g
"08462",Protein,12.0,g
"08469",Protein,5.59,g
"08484",Protein,7.63,g
"08494",Protein,3.32,g
"08495",Protein,4.15,g
"08500",Protein,9.09,g
"08501",Protein,3.9,g
"08513",Protein,5.59,g
"08531",Protein,7.1,g
"08538",Protein,10.39,g
"08543",Protein,7.8,g
"08544",Protein,8.9,g
"08550",Protein,4.44,g
"08553",Protein,6.67,g
"08554",Protein,8.5,g
"08560",Protein,16.79,g
"08571",Protein,11.23,g
"08579",Protein,5.09,g
"08582",Protein,5.6,g
"08583",Protein,5.8,g
"08584",Protein,6.5,g
"08586",Protein,5.4,g
"08588",Protein,5.69,g
"08592",Protein,5.5,g
"08593",Protein,5.8,g
"08594",Protein,4.8,g
"08595",Protein,5.0,g
"08596",Protein,5.8,g
"08598",Protein,7.69,g
"08599",Protein,6.3,g
"08602",Protein,7.5,g
"08603",Protein,6.9,g
"08610",Protein,7.8,g
"08633",Protein,7.9,g
"08635",Protein,6.5,g
"08637",Protein,8.5,g
"08643",Protein,6.4,g
"08655",Protein,7.0,g
"08656",Protein,11.91,g
"08657",Protein,7.41,g
"09003",Protein,0.26,g
"09004",Protein,0.27,g
"09009",Protein,1.32,g
"09011",Protein,0.93,g
"09016",Protein,0.1,g
"09019",Protein,0.17,g
"09021",Protein,1.4,g
"09022",Protein,0.71,g
"09027",Protein,0.53,g
"09032",Protein,3.39,g
"09036",Protein,0.37,g
"09037",Protein,2.0,g
"09040",Protein,1.09,g
"09041",Protein,3.89,g
"09042",Protein,1.39,g
"09043",Protein,0.3,g
"09044",Protein,1.25,g
"09046",Protein,1.31,g
"09048",Protein,1.18,g
"09050",Protein,0.74,g
"09052",Protein,0.65,g
"09057",Protein,1.1,g
"09059",Protein,1.07,g
"09060",Protein,1.04,g
"09063",Protein,1.0,g
"09066",Protein,0.73,g
"09070",Protein,1.06,g
"09074",Protein,0.6,g
"09078",Protein,0.46,g
"09079",Protein,0.17,g
"09081",Protein,0.9,g
"09084",Protein,1.4,g
"09085",Protein,4.08,g
"09087",Protein,2.45,g
