Nutrient,RDA,baby ben,mother ben
Calcium,1000 mg,"Builds bones and teeth. (Your growing baby takes the calcium she needs from your body, so to keep your bones and teeth healthy, you need to get enough to replace that amount.) (1)",Protects your bone density. It may also help prevent high blood pressure while you're pregnant. (1)
Choline,450 mg," Helps prevent problems in the spinal cord and brain, called neural tube defects, and enhances brain development. (1)",Builds strong bones and may help prevent high blood pressure (1)
DHA,0.3 g,Helps boost brain development and vision. (1),May reduce your risk of heart disease in the future (1) and post-partum depression  (4)
Folate (DFE),600 mcg,"Helps protect against spinal cord birth defects during the first 30 days of pregnancy, helps prevent early miscarriage and premature delivery. (1)",Prevents anemia. (1)
Iodine,250 mcg,"Needed for brain and nervous system development; important for preventing  stunted growth, severe mental disability, and deafness; important in preventing miscarriage and stillbirth. (1)",Important for a healthy thyroid. (1)
Iron,27 mg,"Helps prevent premature delivery (1) low birth weight,  and post-partum hemorrhages, and possibly cardiovascular risk for the baby in the future (4)",Wards off anemia in pregnant women. (1)
Potassium,4700 mg,,Helps keep�blood pressure�in check and maintain proper fluid balance; necessary for normal�heart�beat and energy. (1)
Protein,70 g,Protein is crucial for your baby's growth throughout pregnancy (1),
Riboflavin,1.4 mg,,Needed to produce energy; helps your body use the protein from food. (1)
Vitamin B-12,2.6 mcg,,Helps produce red blood cells and helps your body use fat and carbohydrates for energy. (1)
Vitamin B-6,1.9 mg,,"Helps produce protein for new cells, boosts the immune system, and helps form red blood cells. (1)"
Vitamin C,85 mg,,
Vitamin D,600 IU,Helps your baby's body use calcium to build bones and teeth. (1),Helps your body absorb calcium from food and use it to build your bones and teeth. (1)
Zinc,11 mg,Brain�development. (1),�Necessary to grow and repair cells and produce energy. (1)
,,,

SourceId,Source,,
1,https://www.webmd.com/baby/pregnancy-diet-nutrients-you-need#1,,
2,https://www.mayoclinic.org/healthy-lifestyle/pregnancy-week-by-week/in-depth/pregnancy-nutrition/art-20045082?pg=1,,
3,http://americanpregnancy.org/pregnancy-health/nutrients-vitamins-pregnancy/ ,,
4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5084016/,,
5,https://www.nrv.gov.au/nutrients,,
,,,
,,,
,,,
1,https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/#h8,,
2,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/#h8,,
3,https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/#h8,,
4,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/#h8,,
5,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/#h8,,
6,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/#h8,,
7,http://lpi.oregonstate.edu/mic/minerals/potassium ,,
8,,,
9,https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/#h8,,
10,https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/#h8,,
11,https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/#h8,,
12,https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/#h8,,
13,https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/#h8,,
14,https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/#h8,,
